num,id,filename,theme,status,url
1,-4UN3eyRZEg,-4UN3eyRZEg.txt,Three As of service,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/-4UN3eyRZEg.txt
2,-e4TNFchxjk,-e4TNFchxjk.txt,HOW TO CHOOSE YOUR COMPANY NAME,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/-e4TNFchxjk.txt
3,-GrzRgqMyAE,-GrzRgqMyAE.txt,Port marked retained without acceptance,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/-GrzRgqMyAE.txt
4,-xpmCb7TugU,-xpmCb7TugU.txt,Aumento de 5% de margem - dicas operacionais,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/-xpmCb7TugU.txt
5,0jhm6Cvc5QQ,0jhm6Cvc5QQ.txt,Customer magnet Black Friday overview,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/0jhm6Cvc5QQ.txt
6,0qiCSAQt10s,0qiCSAQt10s.txt,Inside customer magnet training,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/0qiCSAQt10s.txt
7,0ZEsFM5W4J8,0ZEsFM5W4J8.txt,"Becoming a Banking and Real Estate Correspondent: With this program, you'll have your best year i...",Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/0ZEsFM5W4J8.txt
8,12iSXmjMWRA,12iSXmjMWRA.txt,2026 income tax margin selling,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/12iSXmjMWRA.txt
9,13rLn-UjmUs,13rLn-UjmUs.txt,Franchise due diligence interview,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/13rLn-UjmUs.txt
10,1c0Uw3l4vKY,1c0Uw3l4vKY.txt,Dialer configuration and strategy,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/1c0Uw3l4vKY.txt
11,1cAc1gh6Ma0,1cAc1gh6Ma0.txt,Banking Correspondent: What will happen after Carnival + FEBRABAN ABECIP ANEPS Certification,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/1cAc1gh6Ma0.txt
12,1dOhmKf2_vI,1dOhmKf2_vI.txt,Customer loyalty from sale to post-sale,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/1dOhmKf2_vI.txt
13,1HS7_Fd4tj0,1HS7_Fd4tj0.txt,NovaVida Next B2B prospecting,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/1HS7_Fd4tj0.txt
14,1JbsIScv-L0,1JbsIScv-L0.txt,FEBRABAN FBB 100 Certification - Everything you need to know - Becoming a Banking Correspondent i...,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/1JbsIScv-L0.txt
15,1P7rV8qMI5g,1P7rV8qMI5g.txt,Thinking of becoming a BANKING CORRESPONDENT or getting certified? Now is the make-or-break moment,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/1P7rV8qMI5g.txt
16,1qFproDzHE4,1qFproDzHE4.txt,Choosing prospecting methods,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/1qFproDzHE4.txt
17,1TkD3WDzc4Q,1TkD3WDzc4Q.txt,Building a MEI seller team,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/1TkD3WDzc4Q.txt
18,2cSrFi--pMw,2cSrFi--pMw.txt,V8 FGTS typing walkthrough,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/2cSrFi--pMw.txt
19,2e8bOe8rAtA,2e8bOe8rAtA.txt,Quanto ganha um Correspondente Bancario REALMENTE? Vale a pena em 2026? #Aprova,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/2e8bOe8rAtA.txt
20,2tJYDZ5hvYA,2tJYDZ5hvYA.txt,Sales specialization turning point,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/2tJYDZ5hvYA.txt
21,2VIeu3I_BDY,2VIeu3I_BDY.txt,Margin from income-tax exemption referral,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/2VIeu3I_BDY.txt
22,312xSkqlx6E,312xSkqlx6E.txt,CORRESPONDENTE BANCARIO 2026: E HORA DE AGIR... OU PERDER #Aprova,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/312xSkqlx6E.txt
23,3TKdj_19cVE,3TKdj_19cVE.txt,Building trust in remote credit sale,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/3TKdj_19cVE.txt
24,3U-KKU7bDwA,3U-KKU7bDwA.txt,Four steps to enter corban business,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/3U-KKU7bDwA.txt
25,4ENJRs8ekQE,4ENJRs8ekQE.txt,2026 margin increase calculation,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/4ENJRs8ekQE.txt
26,4H_XyNZWoB4,4H_XyNZWoB4.txt,"Being a FOREIGN EXCHANGE BANKING CORRESPONDENT - Is it worth it? Abracam ABT, ABT1, ABT2 Certific...",Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/4H_XyNZWoB4.txt
27,4Uw6eqcOSjs,4Uw6eqcOSjs.txt,Financial management of corban,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/4Uw6eqcOSjs.txt
28,4VRUfnDSeSM,4VRUfnDSeSM.txt,"CORRESPONDENTE BANCARIO: O mes da virada - Se nao ver esse video, voce vai se arrepender -FBB, CA300",Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/4VRUfnDSeSM.txt
29,5-LTc3NlQnI,5-LTc3NlQnI.txt,What are the Profitable Functions of a Banking Correspondent in 2026 - Lesson 02 - Corban From Sc...,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/5-LTc3NlQnI.txt
30,5qcriRcYzoU,5qcriRcYzoU.txt,HOW TO BE A BANKING CORRESPONDENT: The 3 rules to be VERY successful - Watch out so you don't mes...,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/5qcriRcYzoU.txt
31,5rcLtw40xis,5rcLtw40xis.txt,Correspondente Bancario: 3 dicas secretas para ter CLIENTES - Curso Gratis #corban,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/5rcLtw40xis.txt
32,5uAHsAUtFmA,5uAHsAUtFmA.txt,How to Be a Banking Correspondent in 2026: Common Mistakes and How to Avoid Them,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/5uAHsAUtFmA.txt
33,61K-UrdQv5Q,61K-UrdQv5Q.txt,NovaVida data intelligence overview,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/61K-UrdQv5Q.txt
34,65zW7MSu4rg,65zW7MSu4rg.txt,URA reversa and small-team prospecting,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/65zW7MSu4rg.txt
35,6H_N_ZFSEUs,6H_N_ZFSEUs.txt,Starting a corban in 2026,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/6H_N_ZFSEUs.txt
36,6HcJ0JB77wY,6HcJ0JB77wY.txt,Being a Banking Correspondent for payroll loans: How to find clients THE RIGHT WAY,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/6HcJ0JB77wY.txt
37,6O-4FIyE9ew,6O-4FIyE9ew.txt,Dialer as credit selling tool,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/6O-4FIyE9ew.txt
38,6U8SGxihknI,6U8SGxihknI.txt,Five-stage corban entry journey,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/6U8SGxihknI.txt
39,7gHC90Jj7xc,7gHC90Jj7xc.txt,Variable compensation and labor planning,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/7gHC90Jj7xc.txt
40,7JO1Lk_QEYI,7JO1Lk_QEYI.txt,Seller training and structured commercial operations,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/7JO1Lk_QEYI.txt
41,7l7wJCJ-9YM,7l7wJCJ-9YM.txt,Registration through promoter instead of franchise,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/7l7wJCJ-9YM.txt
42,7nc__Z9L4Vc,7nc__Z9L4Vc.txt,WA automation functions and customer data,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/7nc__Z9L4Vc.txt
43,8cfFdr3_mxI,8cfFdr3_mxI.txt,NoZap import and messaging demonstration,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/8cfFdr3_mxI.txt
44,8HMIEP9zolE,8HMIEP9zolE.txt,Audience supplier poll for 2025,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/8HMIEP9zolE.txt
45,8I5UQObypYA,8I5UQObypYA.txt,SGS Bacen and market indicators,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/8I5UQObypYA.txt
46,8m_IYVvYY-c,8m_IYVvYY-c.txt,"Banking Correspondent Certification: The 4 Secrets 2026 - FEBRABAN FBB-100, ANEPS, CA-300, CA-600",Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/8m_IYVvYY-c.txt
47,8V7bThJZuwg,8V7bThJZuwg.txt,Startup cost structure by operation model,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/8V7bThJZuwg.txt
48,8XP7LU5NZ-A,8XP7LU5NZ-A.txt,CLT self-service through referral partners,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/8XP7LU5NZ-A.txt
49,9D-OpgOhQKo,9D-OpgOhQKo.txt,Supplier audience poll 2023,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/9D-OpgOhQKo.txt
50,9jj0YYPQPQI,9jj0YYPQPQI.txt,Apostila ANEPS Atualizada 2026 - Prova Aneps Correspondente Bancario - Nao faca isso,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/9jj0YYPQPQI.txt
51,9UMcUdgPXtE,9UMcUdgPXtE.txt,Portability lesson2 filtering before selling,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/9UMcUdgPXtE.txt
52,_nFyM7I_Igg,_nFyM7I_Igg.txt,Finding payroll loan clients,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/_nFyM7I_Igg.txt
53,_PFG5386L6s,_PFG5386L6s.txt,04 - Treinamento Emprestimo Consignado - Como vender a Portabilidade de Emprestimo Consignado,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/_PFG5386L6s.txt
54,_uyp3aZCgfk,_uyp3aZCgfk.txt,SELLING PAYROLL LOANS VIA SOCIAL MEDIA,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/_uyp3aZCgfk.txt
