from,relation,to
00_HOME.md,links_to,00_MODELO_MENTAL/A principal síntese - existem três fluxos diferentes
00_HOME.md,links_to,00_MODELO_MENTAL/Mapa - MOC - Backoffice
00_HOME.md,links_to,00_MODELO_MENTAL/Mapa - MOC - Comercial e Aquisição
00_HOME.md,links_to,00_MODELO_MENTAL/Mapa - MOC - Ecossistema
00_HOME.md,links_to,00_MODELO_MENTAL/Mapa - MOC - Financeiro
00_HOME.md,links_to,"00_MODELO_MENTAL/Mapa - MOC - Gestão, Pessoas e Indicadores"
00_HOME.md,links_to,00_MODELO_MENTAL/Mapa - MOC - Operação
00_HOME.md,links_to,00_MODELO_MENTAL/Mapa - MOC - Produtos
00_HOME.md,links_to,00_MODELO_MENTAL/Mapa - MOC - Risco e Confiabilidade
00_HOME.md,links_to,00_MODELO_MENTAL/Mapa - MOC - Tecnologia e Dados
00_HOME.md,links_to,00_MODELO_MENTAL/Mapa - MOC - Validação e Divergências
00_HOME.md,links_to,00_MODELO_MENTAL/Mapa - Mapa de informações para raciocinar sobre uma operação
00_HOME.md,links_to,00_MODELO_MENTAL/Mapa - O que ficou estabelecido e o que o acervo não entrega
00_HOME.md,links_to,01_ENTIDADES_E_ECOSSISTEMA/A cadeia de relacionamento importa
00_HOME.md,links_to,01_ENTIDADES_E_ECOSSISTEMA/As formas de trabalhar não são equivalentes
00_HOME.md,links_to,01_ENTIDADES_E_ECOSSISTEMA/O que significa ser um corban dentro deste acervo
00_HOME.md,links_to,01_ENTIDADES_E_ECOSSISTEMA/backoffice-ou-operacional
00_HOME.md,links_to,01_ENTIDADES_E_ECOSSISTEMA/banco
00_HOME.md,links_to,01_ENTIDADES_E_ECOSSISTEMA/cliente
00_HOME.md,links_to,01_ENTIDADES_E_ECOSSISTEMA/correspondente-bancario-corban
00_HOME.md,links_to,01_ENTIDADES_E_ECOSSISTEMA/gestor-da-operacao
00_HOME.md,links_to,01_ENTIDADES_E_ECOSSISTEMA/parceiro-indicador
00_HOME.md,links_to,01_ENTIDADES_E_ECOSSISTEMA/promotora-de-credito
00_HOME.md,links_to,01_ENTIDADES_E_ECOSSISTEMA/vendedor-ou-consultor
00_HOME.md,links_to,02_PUBLICOS_E_CONVENIOS/clt-e-credito-do-trabalhador
00_HOME.md,links_to,02_PUBLICOS_E_CONVENIOS/convenio-como-variavel-da-operacao
00_HOME.md,links_to,02_PUBLICOS_E_CONVENIOS/fgts-como-publico-e-produto
00_HOME.md,links_to,02_PUBLICOS_E_CONVENIOS/inss-como-contexto-operacional
00_HOME.md,links_to,02_PUBLICOS_E_CONVENIOS/servidores-publicos-como-publico
00_HOME.md,links_to,03_PRODUTOS/Antecipação do saque-aniversário do FGTS
00_HOME.md,links_to,03_PRODUTOS/Cartão consignado
00_HOME.md,links_to,03_PRODUTOS/Contrato novo e margem complementar
00_HOME.md,links_to,03_PRODUTOS/Crédito do trabalhador - consignado CLT
00_HOME.md,links_to,03_PRODUTOS/Portabilidade pura e portabilidade com refinanciamento
00_HOME.md,links_to,03_PRODUTOS/Produtos - mecanismos e consequências operacionais
00_HOME.md,links_to,03_PRODUTOS/Produtos adjacentes
00_HOME.md,links_to,03_PRODUTOS/Refinanciamento
00_HOME.md,links_to,04_COMERCIAL/As perguntas que precisam permanecer separadas
00_HOME.md,links_to,04_COMERCIAL/Carteira não é uma lista para disparo infinito
00_HOME.md,links_to,04_COMERCIAL/Comercial - mais do que um script
00_HOME.md,links_to,04_COMERCIAL/Origem da oportunidade e capacidade de atendimento
00_HOME.md,links_to,"04_COMERCIAL/Público, canal e momento"
00_HOME.md,links_to,04_COMERCIAL/Qualificar antes de comprometer a operação
00_HOME.md,links_to,04_COMERCIAL/Um “não” precisa de motivo
00_HOME.md,links_to,05_OPERACIONAL/Backoffice - a venda ainda precisa acontecer de verdade
00_HOME.md,links_to,05_OPERACIONAL/Formalização é um ponto de perda
00_HOME.md,links_to,05_OPERACIONAL/Passagem do comercial para o operacional
00_HOME.md,links_to,"05_OPERACIONAL/Portabilidade - controlar o estado, o tempo e a exceção"
00_HOME.md,links_to,06_FINANCEIRO/A base de cálculo vem antes do percentual
00_HOME.md,links_to,06_FINANCEIRO/Capital inicial não é capital para sobreviver
00_HOME.md,links_to,"06_FINANCEIRO/Diferimento, antecipação e coobrigação"
00_HOME.md,links_to,06_FINANCEIRO/Elegibilidade e conciliação
00_HOME.md,links_to,"06_FINANCEIRO/Financeiro - produção, receita, recebimento e lucro"
00_HOME.md,links_to,07_GESTAO_DA_OPERACAO/A operação observada na SOMA
00_HOME.md,links_to,07_GESTAO_DA_OPERACAO/Dois modelos diferentes convivem
00_HOME.md,links_to,07_GESTAO_DA_OPERACAO/Indicadores - perguntas antes dos números
00_HOME.md,links_to,"07_GESTAO_DA_OPERACAO/Pessoas, estrutura e aprendizagem"
00_HOME.md,links_to,07_GESTAO_DA_OPERACAO/Treinamento não termina no acesso ao curso
00_HOME.md,links_to,"08_TECNOLOGIA/Autocontratação, automação e IA"
00_HOME.md,links_to,08_TECNOLOGIA/Discadora e URA não dispensam gestão
00_HOME.md,links_to,08_TECNOLOGIA/Tecnologia - cada ferramenta resolve uma parte
00_HOME.md,links_to,09_RISCOS/Acesso é parte da qualidade operacional
00_HOME.md,links_to,"09_RISCOS/Conteúdo compreendido, mas não adotado"
00_HOME.md,links_to,09_RISCOS/Reclamação é também um problema de rastreabilidade
00_HOME.md,links_to,"09_RISCOS/Risco, qualidade e confiança"
00_HOME.md,links_to,10_SITUACOES_REAIS/banco-originador-reteve-a-portabilidade
00_HOME.md,links_to,10_SITUACOES_REAIS/carteira-existe-mas-nao-e-retrabalhada
00_HOME.md,links_to,10_SITUACOES_REAIS/cliente-aceitou-mas-nao-formalizou
00_HOME.md,links_to,10_SITUACOES_REAIS/cliente-demonstrou-interesse-mas-nao-enquadra
00_HOME.md,links_to,10_SITUACOES_REAIS/cliente-diz-nao-no-primeiro-contato
00_HOME.md,links_to,10_SITUACOES_REAIS/cliente-esta-inseguro-com-venda-digital
00_HOME.md,links_to,10_SITUACOES_REAIS/comissao-percentual-parece-boa-mas-a-base-e-diferente
00_HOME.md,links_to,10_SITUACOES_REAIS/contrato-pagou-mas-a-comissao-nao-apareceu
00_HOME.md,links_to,10_SITUACOES_REAIS/dado-historico-esta-sendo-tratado-como-regra-atual
00_HOME.md,links_to,10_SITUACOES_REAIS/discadora-gera-volume-mas-nao-resultado
00_HOME.md,links_to,10_SITUACOES_REAIS/muitos-leads-e-pouca-conversao
00_HOME.md,links_to,10_SITUACOES_REAIS/operacao-cresceu-mas-a-gestao-nao-acompanhou
00_HOME.md,links_to,10_SITUACOES_REAIS/portabilidade-aguardando-averbacao
00_HOME.md,links_to,10_SITUACOES_REAIS/producao-esta-alta-mas-o-caixa-nao-acompanha
00_HOME.md,links_to,10_SITUACOES_REAIS/proposta-esta-parada-na-esteira
00_HOME.md,links_to,10_SITUACOES_REAIS/proposta-foi-cancelada-por-regra-operacional
00_HOME.md,links_to,10_SITUACOES_REAIS/proposta-foi-digitada-mas-ainda-nao-pagou
00_HOME.md,links_to,10_SITUACOES_REAIS/sistema-de-consulta-mostra-informacao-divergente
00_HOME.md,links_to,10_SITUACOES_REAIS/venda-precisa-passar-do-comercial-para-o-operacional
00_HOME.md,links_to,10_SITUACOES_REAIS/vendedor-recebe-oportunidades-demais
00_HOME.md,links_to,11_PRINCIPIOS_DO_MERCADO/a-cadeia-de-relacionamento-muda-responsabilidades
00_HOME.md,links_to,11_PRINCIPIOS_DO_MERCADO/carteira-e-memoria-de-relacionamento
00_HOME.md,links_to,11_PRINCIPIOS_DO_MERCADO/comissao-exige-entender-a-base-antes-do-percentual
00_HOME.md,links_to,11_PRINCIPIOS_DO_MERCADO/confianca-do-cliente-e-componente-operacional
00_HOME.md,links_to,11_PRINCIPIOS_DO_MERCADO/consulta-nao-e-necessariamente-fonte-final-de-verdade
00_HOME.md,links_to,11_PRINCIPIOS_DO_MERCADO/excecoes-fazem-parte-do-processo-real
00_HOME.md,links_to,11_PRINCIPIOS_DO_MERCADO/formalizacao-faz-parte-da-conversao
00_HOME.md,links_to,11_PRINCIPIOS_DO_MERCADO/handoff-deve-preservar-o-que-foi-negociado
00_HOME.md,links_to,11_PRINCIPIOS_DO_MERCADO/interesse-nao-e-elegibilidade
00_HOME.md,links_to,11_PRINCIPIOS_DO_MERCADO/nao-existe-um-desenho-unico-de-equipe
00_HOME.md,links_to,11_PRINCIPIOS_DO_MERCADO/o-cerebro-deve-separar-pratica-observada-de-regra-universal
00_HOME.md,links_to,11_PRINCIPIOS_DO_MERCADO/o-motivo-do-nao-deve-ser-preservado
00_HOME.md,links_to,11_PRINCIPIOS_DO_MERCADO/producao-receita-recebimento-e-lucro-nao-sao-sinonimos
00_HOME.md,links_to,11_PRINCIPIOS_DO_MERCADO/produto-muda-o-fluxo
00_HOME.md,links_to,11_PRINCIPIOS_DO_MERCADO/rastreabilidade-reduz-cegueira-operacional
00_HOME.md,links_to,11_PRINCIPIOS_DO_MERCADO/regra-historica-nao-e-regra-vigente
00_HOME.md,links_to,11_PRINCIPIOS_DO_MERCADO/status-sem-tempo-responsavel-e-proxima-acao-e-insuficiente
